id_local,coordenada_x_local,coordenada_y_local
781,440746,4475031
782,439758,4473896
783,440478,4473371
784,440212,4475547
785,440061,4475020
786,440150,4474621
787,440055,4474585
788,440038,4474730
789,440134,4475628
790,440180,4474167
791,441019,4475123
792,439855,4473508
794,440741,4474643
795,440669,4473807
796,439718,4474862
797,440814,4474741
798,439950,4474860
799,440254,4474860
800,440441,4474538
801,440053,4475669
802,440374,4475181
803,439691,4473697
804,440737,4474559
805,439722,4474364
806,440076,4475501
807,439740,4473426
808,440408,4473927
809,440569,4475080
810,441184,4474873
811,443069,4474200
812,443219,4472351
814,442739,4473004
815,442922,4474063
816,441439,4473861
817,442304,4472825
818,442366,4472792
819,442505,4474757
820,442675,4472612
821,442871,4474400
822,439825,4473763
823,440519,4473954
824,440701,4473595
825,440366,4474031
826,439813,4474567
827,439847,4474365
828,439762,4474694
829,439863,4474479
830,439800,4473573
831,440759,4474842
832,440230,4474222
833,442607,4474331
834,442717,4472827
835,442514,4472904
836,441679,4473425
837,442931,4474185
838,442622,4474565
840,442382,4472922
841,441518,4474540
842,442308,4472787
843,442366,4472685
844,439726,4473748
845,440627,4474935
846,440910,4474744
847,440498,4473754
849,440689,4474784
850,439896,4473169
851,440534,4475025
852,440420,4474149
853,440458,4474236
854,440284,4475489
855,442528,4473275
856,442488,4472706
857,442174,4472893
858,442094,4475758
859,442180,4472807
860,442258,4472890
861,443006,4473194
862,442818,4474735
863,442624,4473037
864,442561,4474422
865,442779,4472936
866,440632,4475123
867,439676,4475316
868,439713,4473738
870,439861,4474174
871,440511,4473405
873,439789,4473462
874,440642,4473383
875,440998,4475234
876,441031,4475144
877,442632,4474712
878,441548,4473344
879,442475,4474429
880,443064,4472756
881,442646,4472859
882,442932,4472353
883,443153,4472237
884,442788,4474609
885,442598,4472820
886,442342,4472852
887,443015,4474237
888,439465,4473537
889,439825,4474572
890,439816,4474921
891,440024,4474885
892,439916,4475593
893,440943,4473192
894,439762,4474963
895,440685,4473283
896,440059,4474663
897,439472,4473521
898,440712,4474992
899,440043,4475354
900,440775,4473685
901,440990,4475113
902,440343,4472747
903,441151,4472536
905,440848,4471689
906,440485,4472177
907,439099,4473583
908,440647,4473314
909,440008,4473603
910,439924,4475246
911,440284,4475225
912,440241,4473432
913,440397,4474987
914,439763,4473453
915,441009,4475418
916,439973,4473673
918,441059,4475194
919,439842,4474170
920,442714,4472745
921,442187,4472752
922,442765,4473141
923,443126,4473364
924,442554,4474753
925,442961,4474362
926,442406,4472873
927,443189,4472408
928,442142,4472656
929,442305,4472788
930,442516,4474568
931,440454,4475155
932,440282,4474923
933,440290,4474978
934,439448,4473785
935,439782,4475065
936,440002,4475195
937,440154,4474122
938,439975,4475241
939,440825,4474884
940,441027,4474879
941,440655,4474591
942,442768,4474303
943,443173,4472409
944,442795,4472418
945,442778,4472499
946,442775,4474738
947,442558,4472969
948,442195,4473012
949,442710,4475822
950,443196,4474751
951,442885,4476415
952,439870,4474251
953,440118,4475044
954,439088,4473609
955,440511,4474150
956,439544,4473303
957,440156,4474286
958,440522,4474961
959,440450,4473423
961,440439,4474410
962,441034,4474978
963,439958,4473811
964,440435,4472245
965,441013,4471631
966,440274,4472733
967,440481,4472911
968,441307,4472724
969,441104,4472222
970,440997,4471787
971,441085,4471406
972,440821,4472987
973,440536,4472657
974,441849,4472303
975,441062,4472387
976,440767,4473974
977,439930,4473683
978,440772,4474958
979,440051,4475380
980,439795,4475254
981,440155,4475602
982,440193,4475596
983,439972,4475657
984,442085,4476040
985,442220,4475516
987,443788,4476266
988,442396,4476124
989,442871,4476050
991,442048,4475185
993,443412,4474969
994,439944,4474210
995,439979,4474243
996,440278,4475447
997,440327,4475465
998,440046,4474320
999,440915,4475110
1000,439817,4474057
1001,440459,4475197
1004,440358,4474007
1005,440065,4474295
1007,440398,4474140
1008,440388,4474089
1009,440213,4473791
1010,440708,4473903
1011,441121,4473736
1012,440332,4473783
1013,440380,4473504
1014,440006,4473613
1015,439873,4474321
1016,440388,4474069
1017,441082,4475232
1018,441073,4474877
1019,440448,4474633
1020,439896,4475010
1021,440786,4475111
1023,440266,4472929
1024,440768,4472026
1025,440319,4472656
1026,440747,4472752
1027,442427,4476012
1028,441949,4476389
1029,442790,4475274
1030,441762,4475462
1032,443475,4475304
1034,443774,4475710
1035,441980,4475142
1037,440962,4471930
1038,438844,4473911
1040,441092,4472091
1041,441256,4472576
1043,439224,4472536
1044,439118,4473746
1045,441076,4475027
1046,440063,4473497
1047,442185,4475260
1048,442773,4473702
1049,442125,4473250
1050,442130,4472972
1051,442652,4474514
1052,442622,4474545
1053,442810,4474630
1054,442670,4474623
1055,443155,4474192
1056,442585,4474387
1057,443059,4474200
1058,440851,4475240
1059,440291,4473647
1060,440119,4474157
1061,440835,4474766
1062,439866,4474363
1063,439870,4474874
1064,439822,4475088
1065,439765,4473358
1066,440617,4474798
1067,440529,4472849
1068,441187,4473098
1069,442396,4472586
1070,442742,4473010
1071,442154,4473179
1072,442903,4473070
1073,442531,4474633
1074,443075,4474232
1075,442416,4474641
1076,442801,4472644
1077,442418,4472867
1078,443231,4473148
1079,442642,4472727
1080,442754,4474359
1081,443672,4473707
1082,443072,4474199
1083,442655,4474540
1084,442832,4472686
1085,442743,4473656
1086,442385,4474579
1087,442774,4473091
1088,443065,4472298
1089,442692,4474638
1090,442379,4472782
1091,441742,4473112
1092,443002,4472284
1093,442779,4474224
1094,442817,4474221
1096,443650,4475814
1098,443400,4475851
1099,443375,4475827
1100,442678,4474906
1101,441916,4475924
1102,441145,4472486
1103,441212,4472829
1104,441066,4472556
1105,438821,4473410
1106,440180,4472176
1107,441223,4472125
1108,439914,4472947
1109,440037,4472806
1111,440618,4472077
1112,440474,4474184
1113,443521,4475661
1114,443437,4475931
1116,442166,4476300
1117,442240,4476369
1118,442777,4472437
1119,441402,4473341
1120,442676,4472573
1121,443158,4472364
1122,442214,4473154
1123,442918,4472361
1124,439994,4474992
1125,440502,4473229
1126,439764,4475035
1127,440342,4474218
1128,439754,4475190
1129,440342,4474227
1130,439605,4473780
1131,440628,4474689
1132,440233,4473305
1133,440233,4474377
1134,440842,4474251
1135,443034,4474243
1136,442669,4473672
1137,442528,4474651
1138,442364,4474665
1140,443498,4473313
1141,442114,4472969
1142,442760,4474173
1143,442573,4472993
1144,442646,4472725
1145,442823,4473884
1146,440374,4475191
1147,439968,4474848
1148,439874,4474331
1151,440842,4474937
1152,440497,4474102
1154,440000,4474761
1155,439997,4473431
1156,439703,4473721
1158,443031,4472182
1159,442170,4472895
1160,441406,4474547
1161,442280,4472933
1162,442690,4472963
1163,443194,4474297
1164,443334,4475100
1166,443731,4475754
1167,442075,4475232
1168,440478,4474861
1169,439752,4474136
1170,440987,4474261
1171,439599,4473303
1172,440415,4474979
1173,440466,4474528
1174,439761,4475168
1175,439837,4475139
1176,439783,4475152
1177,439873,4475241
1178,439894,4475239
1179,440361,4475185
1180,441325,4475014
1181,441171,4474873
1182,441046,4474879
1183,441150,4474875
1184,440232,4474655
1185,440402,4473525
1186,440086,4474132
1187,440650,4474779
1188,440752,4474845
1189,440309,4475333
1190,440730,4474647
1191,440870,4475244
1192,441044,4475168
1193,441054,4474025
1195,440699,4474677
1196,439788,4475164
1197,440453,4475150
1198,440292,4475347
1199,440472,4475078
1200,439930,4475387
1201,443114,4475803
1202,442472,4474794
1205,443491,4475025
1206,442759,4476033
1207,441333,4474582
1208,441976,4475549
1209,443084,4472250
1211,439998,4475134
1212,440207,4474393
1213,440343,4474104
1214,439976,4475429
1215,440062,4474568
1217,440474,4474781
1218,439939,4474313
1219,439916,4474140
1220,439760,4473722
1221,440300,4474908
1222,443453,4475287
1223,443612,4474795
1224,443631,4474798
1226,443532,4474889
1227,442686,4476192
1228,442484,4476019
1229,442851,4475341
1230,443853,4475273
1231,442307,4475009
1232,440908,4474884
1233,440793,4474949
1234,439945,4474837
1235,440472,4475407
1236,440451,4474115
1237,439663,4474241
1238,440350,4475300
1239,440510,4474753
1240,440131,4475330
1241,440657,4473372
1243,440636,4474742
1244,440451,4473401
1245,440383,4474236
1246,439634,4473933
1247,441178,4473368
1248,440790,4474846
1249,440236,4474430
1250,439744,4474977
1251,440309,4474648
1252,440142,4474526
1253,440449,4475551
1254,439986,4475544
1255,440464,4474212
1256,440500,4475423
1257,440226,4474458
1258,440007,4475277
1259,439779,4474778
1260,440506,4474047
1261,439654,4474279
1262,440545,4475333
1263,439412,4473640
1264,440645,4473934
1265,443373,4473490
1266,442951,4474362
1267,442551,4473118
1269,442837,4472620
1270,442746,4473297
1271,442265,4473202
1273,443141,4472557
1274,442164,4473143
1275,442556,4472722
1276,439873,4474471
1277,440132,4474974
1278,439872,4473594
1280,440680,4473843
1281,440290,4474730
1282,440462,4474788
1283,441199,4473368
1284,439842,4474846
1285,440378,4475032
1286,440607,4474779
1287,442584,4473166
1288,442428,4473004
1289,442629,4472648
1290,441432,4474283
1291,441432,4474291
1292,442768,4473051
1293,441345,4474363
1294,442448,4474342
1295,442954,4473113
1296,442411,4474742
1297,443730,4474424
1298,439877,4474381
1299,440804,4475187
1301,440571,4473930
1302,440283,4475185
1303,439515,4473286
1304,439857,4475028
1305,439800,4473515
1306,440744,4474041
1307,439851,4475638
1308,439762,4475382
1309,440001,4475086
1311,440241,4475228
1312,440396,4475173
1313,440329,4475476
1314,440529,4473491
1315,440006,4475217
1316,440098,4475056
1317,440432,4475087
1318,439743,4474311
1319,440423,4475056
1320,440277,4474930
1321,440751,4473813
1322,439970,4473490
