,Nombre,Opiniones,Tipo,Precio,Cosas
63,Curry Masala,723 opiniones,India  ,Medio,
64,Oven Mozzarella Gran Vía 6,5248 opiniones,Italiana,Medio,
65,Naomi,763 opiniones,Japonesa  ,Medio,
66,Luna Rossa Ristorante Pizzeria,429 opiniones,Italiana,Medio,
67,Mitiko,94 opiniones,China,Alto,
68,Bresca,789 opiniones,Italiana,Bajo,
69,Pizzeria Vesuvio -Hortaleza,796 opiniones,Italiana,Bajo,
70,Alta Cocina Oriental Jinode,168 opiniones,China  ,Medio,
71,Araldo Arte del Gusto,211 opiniones,Italiana,Medio,
72,La Pizzateca,1146 opiniones,Italiana,Bajo,
73,Casa Crimi,32 opiniones,Italiana,Medio,
74,Ichibanya,29 opiniones,Japonesa  ,Medio,
75,Nacho Bravo,157 opiniones,Mexicana,Bajo,
76,Impasta,66 opiniones,Italiana,Medio,
77,DokiDOki,908 opiniones,Japonesa  ,Medio,
78,Ponja Nikkei,89 opiniones,Japonesa,Alto,
79,nonsolocaffé,192 opiniones,Italiana,Medio,
80,Wok Passion,43 opiniones,China,Bajo,
81,Art & Sushi,288 opiniones,Japonesa  ,Medio,
82,That's Amore,55 opiniones,Italiana,Medio,
83,Bowlers Kitchen,49 opiniones,India  ,Medio,
84,Lamonarracha-Chamberí,91 opiniones,Japonesa  ,Medio,
85,Vecchia Milano,133 opiniones,Italiana,Medio,
86,Il Pastaio,317 opiniones,Italiana,Medio,
87,MASSART - Goya,215 opiniones,Italiana,Medio,
88,Everest Tandoori Nepali-Indian Restaurant,978 opiniones,India  ,Medio,
89,Don Giovanni,1005 opiniones,Italiana,Medio,
90,Curry Masala,723 opiniones,India  ,Medio,
91,Oven Mozzarella Gran Vía 6,5248 opiniones,Italiana,Medio,
92,Naomi,763 opiniones,Japonesa  ,Medio,
93,Luna Rossa Ristorante Pizzeria,429 opiniones,Italiana,Medio,
94,Mitiko,94 opiniones,China,Alto,
95,Bresca,789 opiniones,Italiana,Bajo,
96,Pizzeria Vesuvio -Hortaleza,796 opiniones,Italiana,Bajo,
97,Alta Cocina Oriental Jinode,168 opiniones,China  ,Medio,
98,Araldo Arte del Gusto,211 opiniones,Italiana,Medio,
99,La Pizzateca,1146 opiniones,Italiana,Bajo,
100,Casa Crimi,32 opiniones,Italiana,Medio,
101,Ichibanya,29 opiniones,Japonesa  ,Medio,
102,Nacho Bravo,157 opiniones,Mexicana,Bajo,
103,Impasta,66 opiniones,Italiana,Medio,
104,DokiDOki,908 opiniones,Japonesa  ,Medio,
105,Ponja Nikkei,89 opiniones,Japonesa,Alto,
106,nonsolocaffé,192 opiniones,Italiana,Medio,
107,Wok Passion,43 opiniones,China,Bajo,
108,Art & Sushi,288 opiniones,Japonesa  ,Medio,
109,That's Amore,55 opiniones,Italiana,Medio,
110,Bowlers Kitchen,49 opiniones,India  ,Medio,
111,Lamonarracha-Chamberí,91 opiniones,Japonesa  ,Medio,
112,Vecchia Milano,133 opiniones,Italiana,Medio,
113,Tuk Tuk Asian Street Food Chueca,650 opiniones,Tailandesa  ,Medio,
115,Il Cratere del Gusto,185 opiniones,Italiana,Medio,
116,Tropikal luxury buffet,94 opiniones,China  ,Medio,
118,Dimibang,105 opiniones,Japonesa  ,Medio,
119,Musashi,510 opiniones,Japonesa  ,Medio,
120,El Japo,17 opiniones,Japonesa  ,Medio,
121,Latasia,480 opiniones,Peruana  ,Medio,
123,Pandino,18 opiniones,Venezolana,Bajo,
124,Mashita,157 opiniones,Japonesa,Bajo,
125,Indian Accent,99 opiniones,India  ,Medio,
126,Barganzo,156 opiniones,Mediterránea  ,Medio,
127,Restaurante Hong,109 opiniones,China  ,Medio,
128,Davao Lounge,6 opiniones,Japonesa  ,Medio,
129,Teta & Sopa,19 opiniones,Japonesa  ,Medio,
130,Nakeima Dumpling Bar,520 opiniones,Japonesa  ,Medio,
131,BIZZO! Moncloa,166 opiniones,Italiana,Bajo,
132,Fratelli d'italia Lavapiés,198 opiniones,Italiana,Bajo,
133,Ni Hao Sanchinarro,268 opiniones,China  ,Medio,
134,Trattoria da Piero,46 opiniones,Italiana,Medio,
135,Min 1947,34 opiniones,China  ,Medio,
136,Ramen Kagura,1295 opiniones,Japonesa  ,Medio,
137,Moemia Taberna,16 opiniones,Peruana  ,Medio,
138,Hainao,16 opiniones,China,Bajo,
139,Oven Mozzarella Bar Fuencarral,4102 opiniones,Italiana,Medio,
140,Santita Virgen de los Peligros,1078 opiniones,Mexicana  ,Medio,
141,Grosso Napoletano,382 opiniones,Italiana,Medio,
142,FORNERIA BALLARO,253 opiniones,Italiana,Medio,
143,L´Artisan Furansu Kitchen,385 opiniones,Japonesa  ,Medio,
144,Bresca,145 opiniones,Italiana,Medio,
145,Curry y Canela,283 opiniones,India  ,Medio,
146,El Bombón,28 opiniones,Caribeña,Bajo,
147,Li.Sushi,29 opiniones,Japonesa,,
148,La Nonna,207 opiniones,Italiana,Medio,
149,LA COLONIAL DE HUERTAS,562 opiniones,Caribeña  ,Medio,
150,Restaurante Luos,118 opiniones,Japonesa  ,Medio,
151,Pante Cucina Siciliana,195 opiniones,Italiana,Medio,
152,Kausa Madrid,520 opiniones,Peruana  ,Medio,
153,La Malanga,15 opiniones,Caribeña  ,Medio,
154,Il Regno di Napoli,162 opiniones,Italiana,Medio,
155,López & López Pizzería,167 opiniones,Italiana,Bajo,
156,AreTapas,16 opiniones,Mexicana,Bajo,
157,Sushita Cafe,1055 opinionesAbre en 4 minutos,Japonesa  ,Medio,
158,Ristorante Pizzeria Fuoko,87 opiniones,Italiana,Medio,
159,Cherry Pecas,1474 opiniones,Mexicana,Bajo,
160,KIPPU,171 opiniones,Japonesa  ,Medio,
161,Santita Fuencarral,1072 opiniones,Mexicana  ,Medio,
162,Hotpot De Sichuan,47 opinionesAbre en 4 minutos,China  ,Medio,
163,Chino Fulitu,159 opiniones,China  ,Medio,
164,Massart Pizza - Moncloa,432 opiniones,Italiana,Medio,
165,El Bacaro de Fabio,31 opiniones,Italiana,Medio,
166,Poké Friendly,45 opiniones,Japonesa   ,Medio,
167,Viva Sushi,6 opiniones,China,,
168,Distrito 1 - Las Tablas,54 opiniones,Vietnamita  ,Medio,
169,Grosso Napoletano,382 opiniones,Italiana,Medio,
170,FORNERIA BALLARO,253 opiniones,Italiana,Medio,
171,L´Artisan Furansu Kitchen,385 opiniones,Japonesa  ,Medio,
172,Bresca,145 opiniones,Italiana,Medio,
173,Curry y Canela,283 opiniones,India  ,Medio,
174,El Bombón,28 opiniones,Caribeña,Bajo,
175,Li.Sushi,29 opiniones,Japonesa,,
176,La Nonna,207 opiniones,Italiana,Medio,
177,LA COLONIAL DE HUERTAS,562 opiniones,Caribeña  ,Medio,
178,Restaurante Luos,118 opiniones,Japonesa  ,Medio,
179,Pante Cucina Siciliana,195 opiniones,Italiana,Medio,
180,Kausa Madrid,520 opiniones,Peruana  ,Medio,
181,La Malanga,15 opiniones,Caribeña  ,Medio,
182,Il Regno di Napoli,162 opiniones,Italiana,Medio,
183,López & López Pizzería,167 opiniones,Italiana,Bajo,
184,AreTapas,16 opiniones,Mexicana,Bajo,
185,Sushita Cafe,1055 opinionesAbre en 4 minutos,Japonesa  ,Medio,
186,Ristorante Pizzeria Fuoko,87 opiniones,Italiana,Medio,
187,Cherry Pecas,1474 opiniones,Mexicana,Bajo,
188,KIPPU,171 opiniones,Japonesa  ,Medio,
189,Santita Fuencarral,1072 opiniones,Mexicana  ,Medio,
190,Hotpot De Sichuan,47 opinionesAbre en 4 minutos,China  ,Medio,
191,Chino Fulitu,159 opiniones,China  ,Medio,
192,Massart Pizza - Moncloa,432 opiniones,Italiana,Medio,
193,El Bacaro de Fabio,31 opiniones,Italiana,Medio,
194,Poké Friendly,45 opiniones,Japonesa   ,Medio,
195,Viva Sushi,6 opiniones,China,,
196,Distrito 1 - Las Tablas,54 opiniones,Vietnamita  ,Medio,
197,Roppongui,28 opiniones,Japonesa  ,Medio,
198,Restaurante Lan Lan Madrid,197 opinionesAbre en 4 minutos,Japonesa  ,Medio,
199,Oven Mozzarella Bar Atocha,2952 opiniones,Italiana,Medio,
200,Raku Sushi,104 opiniones,Japonesa  ,Medio,
201,Trattoria Popolare Fratelli Figurato,148 opiniones,Italiana,Medio,
202,Atocha Tandoori,233 opiniones,India  ,Medio,
203,Massa Pizza,452 opiniones,Italiana,Medio,
204,Da Giuseppina,195 opiniones,Italiana,Medio,
205,Oven Mozzarella Bernabeu,284 opiniones,Italiana,Medio,
206,La Pasteria 55,37 opiniones,Italiana,Medio,
207,Carato Bar,20 opiniones,Venezolana  ,Medio,
208,Pizzería Altivole,29 opiniones,Italiana,Bajo,
209,Kasanova,109 opiniones,Italiana,Medio,
210,La Taverna Siciliana,8 opiniones,Italiana,Medio,
211,Asian Restaurant,39 opiniones,China  ,Medio,
212,Mandarin,206 opiniones,China  ,Medio,
213,Bartoky's,21 opiniones,Japonesa,Bajo,
214,Restaurante Moharaj,506 opiniones,India  ,Medio,
215,Cevichevere,14 opiniones,Japonesa  ,Medio,
216,Maccheroni,24 opiniones,Italiana,Medio,
217,Graal,28 opiniones,Americana ,Bajo,
218,Zen Asian Supper Club,1112 opiniones,China,Alto,
219,Sakale,3359 opiniones,Mexicana  ,Medio,
220,127 Taipei Bar Ramen & Baos,102 opiniones,Fusión  ,Medio,
221,La Bella Anna,241 opiniones,Italiana,Medio,
222,Saigon Music & Lunch,481 opiniones,Mediterránea  ,Medio,
223,Restaurant Chuanyu,32 opinionesAbre en 4 minutos,China,Bajo,
224,Rioko Nikkei Sushi Bar,67 opiniones,Japonesa  ,Medio,
225,Chulapas Cafe,130 opiniones,Colombiana,Bajo,
226,Tabriz Restaurant,27 opinionesAbre en 4 minutos,Turca  ,Medio,
227,Pizzart Fuencarral,899 opiniones,Italiana,Medio,
228,Maximo's,267 opiniones,Japonesa  ,Medio,
229,Ornella Velázquez,2283 opinionesAbre en 3 minutos,Italiana,Medio,
230,Smok Mok,103 opiniones,Japonesa,Bajo,
231,Maruzzella,965 opiniones,Italiana,Medio,
232,Lettera Trattoria moderna,1555 opiniones,Italiana,Medio,
233,Malafemmena,1509 opinionesAbre en 3 minutos,Italiana,Medio,
234,Trattoria Pulcinella,2767 opinionesAbre en 3 minutos,Italiana,Medio,
235,Gustazio Gastrobar,235 opiniones,Italiana,Medio,
236,Davanti Food & Market,412 opiniones,Italiana,Medio,
237,Ouh...Babbo!,665 opiniones,Italiana,Medio,
238,Pizzart Villa Canalejas,898 opiniones,Italiana,Medio,
239,Piccola Napoli,499 opiniones,Italiana,Bajo,
240,Sushi Tokami,65 opiniones,Japonesa  ,Medio,
241,Pastamore,1012 opiniones,Italiana,Medio,
242,Oliveto,377 opiniones,Italiana,Medio,
243,Pizzart Villa Luchana,734 opiniones,Italiana,Medio,
244,A vÁnvera,443 opiniones,Italiana,Medio,
245,Trattoria Malatesta,2138 opiniones,Italiana,Medio,
246,Il Pizzaiolo,927 opiniones,Italiana,Medio,
247,MACAO Príncipe,376 opiniones,Japonesa  ,Medio,
248,Fiaschetteria La Saletta,298 opiniones,Italiana,Bajo,
249,Minelli 1960,111 opiniones,Italiana,Medio,
250,Lab '84,75 opiniones,Italiana,Medio,
251,Ronda 14,982 opiniones,Japonesa  ,Medio,
252,PICCOLO DIAVOLO,688 opiniones,Italiana,Medio,
253,La Piccola Trattoria,331 opiniones,Italiana,Medio,
254,Kzen,208 opiniones,China  ,Medio,
255,Il Boccone,179 opiniones,Italiana,Medio,
